Image,Observation,Date,Exposure,Tip_Radius,Tip_Longitude,Base_Radius,Base_Longitude,Class,Phase
N1577813677a_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T16:58:29.132,1200,140563.73,168.387,140533.49,168.38,Classic,63.28084
N1577813677b_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T16:58:29.132,1201,140526.89,165.692,140567.42,165.662,Classic,63.28084
N1577813677c_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T16:58:29.132,1202,140598.84,165.609,140568.38,165.631,Classic,63.28084
N1577813677d_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T16:58:29.132,1203,140603.17,165.487,140552.21,165.525,Classic,63.28084
N1577818269_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T18:15:01.099,1200,140523.2,169.207,140574.19,168.915,Classic,63.71164
N1577820565_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T18:53:17.083,1200,140562.91,167.958,140545.61,168.017,Classic,63.89527
N1577823189a_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T19:37:01.065,1200,140516.78,169.148,140545.87,169.148,Extended Object,64.1638
N1577823189b_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T19:37:01.065,1201,140504.09,168.456,140546.98,168.323,Classic - bright head,64.1638
N1577824501a_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T19:58:53.055,1200,140574.27,171.704,140555.02,171.704,Complex,64.33935
N1577824501b_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T19:58:53.055,1200,140575.77,169.281,140558.09,169.303,Classic,64.28987
N1577825157a_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T20:09:49.051,1200,140534,169.118,140550.99,169.082,Classic,64.34635
N1577825157b_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T20:09:49.051,1201,140525.85,168.605,140534.91,168.591,Classic,65.34635
N1577825813_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T20:20:45.046,1200,0,0,140522.45,170.043,Complex,64.42764
N1577826797_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T20:37:09.039,1200,140314.65,168.763,140333.35,168.748,Complex,64.48563
N1577828765a_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T21:09:57.025,1200,140500.18,171.136,140568.32,169.477,Classic,64.69826
